idx,task_id,0_count,1_count,2_count,3_count,total_count,0_share,1_share,2_share,3_share,agreement,quadkey,Unnamed: 0,geom,taskX,taskY,url,urlB
16,20-309450-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023210,1789,"MULTIPOLYGON(((-73.7587738037109 18.1993482846078,-73.758430480957 18.1993482846078,-73.758430480957 18.1990221360621,-73.7587738037109 18.1990221360621,-73.7587738037109 18.1993482846078)))",309450,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309450&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309450/470364
17,20-309450-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023212,1788,"MULTIPOLYGON(((-73.7587738037109 18.1990221360621,-73.758430480957 18.1990221360621,-73.758430480957 18.198695986906,-73.7587738037109 18.198695986906,-73.7587738037109 18.1990221360621)))",309450,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309450&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309450/470365
18,20-309451-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023033,1787,"MULTIPOLYGON(((-73.758430480957 18.1996744325432,-73.7580871582031 18.1996744325432,-73.7580871582031 18.1993482846078,-73.758430480957 18.1993482846078,-73.758430480957 18.1996744325432)))",309451,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309451&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309451/470363
19,20-309451-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023211,1786,"MULTIPOLYGON(((-73.758430480957 18.1993482846078,-73.7580871582031 18.1993482846078,-73.7580871582031 18.1990221360621,-73.758430480957 18.1990221360621,-73.758430480957 18.1993482846078)))",309451,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309451&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309451/470364
20,20-309451-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023213,1785,"MULTIPOLYGON(((-73.758430480957 18.1990221360621,-73.7580871582031 18.1990221360621,-73.7580871582031 18.198695986906,-73.758430480957 18.198695986906,-73.758430480957 18.1990221360621)))",309451,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309451&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309451/470365
21,20-309452-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023122,1784,"MULTIPOLYGON(((-73.7580871582031 18.1996744325432,-73.7577438354492 18.1996744325432,-73.7577438354492 18.1993482846078,-73.7580871582031 18.1993482846078,-73.7580871582031 18.1996744325432)))",309452,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309452&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309452/470363
22,20-309452-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023300,1783,"MULTIPOLYGON(((-73.7580871582031 18.1993482846078,-73.7577438354492 18.1993482846078,-73.7577438354492 18.1990221360621,-73.7580871582031 18.1990221360621,-73.7580871582031 18.1993482846078)))",309452,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309452&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309452/470364
23,20-309452-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023302,1782,"MULTIPOLYGON(((-73.7580871582031 18.1990221360621,-73.7577438354492 18.1990221360621,-73.7577438354492 18.198695986906,-73.7580871582031 18.198695986906,-73.7580871582031 18.1990221360621)))",309452,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309452&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309452/470365
24,20-309453-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023123,1781,"MULTIPOLYGON(((-73.7577438354492 18.1996744325432,-73.7574005126953 18.1996744325432,-73.7574005126953 18.1993482846078,-73.7577438354492 18.1993482846078,-73.7577438354492 18.1996744325432)))",309453,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309453&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309453/470363
25,20-309453-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023301,1780,"MULTIPOLYGON(((-73.7577438354492 18.1993482846078,-73.7574005126953 18.1993482846078,-73.7574005126953 18.1990221360621,-73.7577438354492 18.1990221360621,-73.7577438354492 18.1993482846078)))",309453,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309453&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309453/470364
26,20-309453-470365,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,03221031320213023303,1779,"MULTIPOLYGON(((-73.7577438354492 18.1990221360621,-73.7574005126953 18.1990221360621,-73.7574005126953 18.198695986906,-73.7577438354492 18.198695986906,-73.7577438354492 18.1990221360621)))",309453,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309453&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309453/470365
27,20-309454-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023132,1778,"MULTIPOLYGON(((-73.7574005126953 18.1996744325432,-73.7570571899414 18.1996744325432,-73.7570571899414 18.1993482846078,-73.7574005126953 18.1993482846078,-73.7574005126953 18.1996744325432)))",309454,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309454&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309454/470363
28,20-309454-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023310,1777,"MULTIPOLYGON(((-73.7574005126953 18.1993482846078,-73.7570571899414 18.1993482846078,-73.7570571899414 18.1990221360621,-73.7574005126953 18.1990221360621,-73.7574005126953 18.1993482846078)))",309454,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309454&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309454/470364
29,20-309454-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023312,1776,"MULTIPOLYGON(((-73.7574005126953 18.1990221360621,-73.7570571899414 18.1990221360621,-73.7570571899414 18.198695986906,-73.7574005126953 18.198695986906,-73.7574005126953 18.1990221360621)))",309454,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309454&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309454/470365
30,20-309455-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023133,1775,"MULTIPOLYGON(((-73.7570571899414 18.1996744325432,-73.7567138671875 18.1996744325432,-73.7567138671875 18.1993482846078,-73.7570571899414 18.1993482846078,-73.7570571899414 18.1996744325432)))",309455,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309455&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309455/470363
31,20-309455-470364,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,03221031320213023311,1774,"MULTIPOLYGON(((-73.7570571899414 18.1993482846078,-73.7567138671875 18.1993482846078,-73.7567138671875 18.1990221360621,-73.7570571899414 18.1990221360621,-73.7570571899414 18.1993482846078)))",309455,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309455&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309455/470364
32,20-309455-470365,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,03221031320213023313,1773,"MULTIPOLYGON(((-73.7570571899414 18.1990221360621,-73.7567138671875 18.1990221360621,-73.7567138671875 18.198695986906,-73.7570571899414 18.198695986906,-73.7570571899414 18.1990221360621)))",309455,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309455&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309455/470365
33,20-309456-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032022,1772,"MULTIPOLYGON(((-73.7567138671875 18.1996744325432,-73.7563705444336 18.1996744325432,-73.7563705444336 18.1993482846078,-73.7567138671875 18.1993482846078,-73.7567138671875 18.1996744325432)))",309456,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309456&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309456/470363
34,20-309456-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032200,1771,"MULTIPOLYGON(((-73.7567138671875 18.1993482846078,-73.7563705444336 18.1993482846078,-73.7563705444336 18.1990221360621,-73.7567138671875 18.1990221360621,-73.7567138671875 18.1993482846078)))",309456,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309456&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309456/470364
35,20-309456-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032202,1770,"MULTIPOLYGON(((-73.7567138671875 18.1990221360621,-73.7563705444336 18.1990221360621,-73.7563705444336 18.198695986906,-73.7567138671875 18.198695986906,-73.7567138671875 18.1990221360621)))",309456,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309456&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309456/470365
36,20-309457-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032023,1769,"MULTIPOLYGON(((-73.7563705444336 18.1996744325432,-73.7560272216797 18.1996744325432,-73.7560272216797 18.1993482846078,-73.7563705444336 18.1993482846078,-73.7563705444336 18.1996744325432)))",309457,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309457&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309457/470363
37,20-309457-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032201,1768,"MULTIPOLYGON(((-73.7563705444336 18.1993482846078,-73.7560272216797 18.1993482846078,-73.7560272216797 18.1990221360621,-73.7563705444336 18.1990221360621,-73.7563705444336 18.1993482846078)))",309457,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309457&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309457/470364
38,20-309457-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032203,1767,"MULTIPOLYGON(((-73.7563705444336 18.1990221360621,-73.7560272216797 18.1990221360621,-73.7560272216797 18.198695986906,-73.7563705444336 18.198695986906,-73.7563705444336 18.1990221360621)))",309457,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309457&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309457/470365
39,20-309458-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032032,1766,"MULTIPOLYGON(((-73.7560272216797 18.1996744325432,-73.7556838989258 18.1996744325432,-73.7556838989258 18.1993482846078,-73.7560272216797 18.1993482846078,-73.7560272216797 18.1996744325432)))",309458,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309458&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309458/470363
40,20-309458-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032210,1765,"MULTIPOLYGON(((-73.7560272216797 18.1993482846078,-73.7556838989258 18.1993482846078,-73.7556838989258 18.1990221360621,-73.7560272216797 18.1990221360621,-73.7560272216797 18.1993482846078)))",309458,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309458&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309458/470364
41,20-309458-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032212,1764,"MULTIPOLYGON(((-73.7560272216797 18.1990221360621,-73.7556838989258 18.1990221360621,-73.7556838989258 18.198695986906,-73.7560272216797 18.198695986906,-73.7560272216797 18.1990221360621)))",309458,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309458&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309458/470365
42,20-309459-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032033,1763,"MULTIPOLYGON(((-73.7556838989258 18.1996744325432,-73.7553405761719 18.1996744325432,-73.7553405761719 18.1993482846078,-73.7556838989258 18.1993482846078,-73.7556838989258 18.1996744325432)))",309459,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309459&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309459/470363
43,20-309459-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032211,1762,"MULTIPOLYGON(((-73.7556838989258 18.1993482846078,-73.7553405761719 18.1993482846078,-73.7553405761719 18.1990221360621,-73.7556838989258 18.1990221360621,-73.7556838989258 18.1993482846078)))",309459,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309459&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309459/470364
44,20-309459-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032213,1761,"MULTIPOLYGON(((-73.7556838989258 18.1990221360621,-73.7553405761719 18.1990221360621,-73.7553405761719 18.198695986906,-73.7556838989258 18.198695986906,-73.7556838989258 18.1990221360621)))",309459,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309459&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309459/470365
45,20-309460-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032122,1760,"MULTIPOLYGON(((-73.7553405761719 18.1996744325432,-73.754997253418 18.1996744325432,-73.754997253418 18.1993482846078,-73.7553405761719 18.1993482846078,-73.7553405761719 18.1996744325432)))",309460,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309460&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309460/470363
46,20-309460-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032300,1759,"MULTIPOLYGON(((-73.7553405761719 18.1993482846078,-73.754997253418 18.1993482846078,-73.754997253418 18.1990221360621,-73.7553405761719 18.1990221360621,-73.7553405761719 18.1993482846078)))",309460,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309460&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309460/470364
47,20-309460-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032302,1758,"MULTIPOLYGON(((-73.7553405761719 18.1990221360621,-73.754997253418 18.1990221360621,-73.754997253418 18.198695986906,-73.7553405761719 18.198695986906,-73.7553405761719 18.1990221360621)))",309460,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309460&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309460/470365
48,20-309461-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032123,1757,"MULTIPOLYGON(((-73.754997253418 18.1996744325432,-73.7546539306641 18.1996744325432,-73.7546539306641 18.1993482846078,-73.754997253418 18.1993482846078,-73.754997253418 18.1996744325432)))",309461,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309461&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309461/470363
49,20-309461-470364,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032301,1756,"MULTIPOLYGON(((-73.754997253418 18.1993482846078,-73.7546539306641 18.1993482846078,-73.7546539306641 18.1990221360621,-73.754997253418 18.1990221360621,-73.754997253418 18.1993482846078)))",309461,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309461&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309461/470364
50,20-309461-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213032303,1755,"MULTIPOLYGON(((-73.754997253418 18.1990221360621,-73.7546539306641 18.1990221360621,-73.7546539306641 18.198695986906,-73.754997253418 18.198695986906,-73.754997253418 18.1990221360621)))",309461,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309461&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309461/470365
51,20-309462-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213032132,1754,"MULTIPOLYGON(((-73.7546539306641 18.1996744325432,-73.7543106079102 18.1996744325432,-73.7543106079102 18.1993482846078,-73.7546539306641 18.1993482846078,-73.7546539306641 18.1996744325432)))",309462,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309462&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309462/470363
