idx,project_id,user_id,groups_completed,total_contributions,agreeing_contributions,disagreeing_contributions,simple_agreement_score
73,-MiR5RA-m87bPmNwsbFR,hVm2TdHeMTR4mfrPFnoG8jhS3dw2,4,168,449.0,559.0,0.44543650793650796
74,-MiR5RA-m87bPmNwsbFR,i8bkrLWJXGSKXHPYxb4Oh110q9w2,1,36,98.0,154.0,0.3888888888888889
75,-MiR5RA-m87bPmNwsbFR,jBQI9iOW1JMgvpTYiT54iZ8wb7I2,1,36,158.0,94.0,0.626984126984127
76,-MiR5RA-m87bPmNwsbFR,jaI3cALjOcQU76yKvhqCVaRoOtE3,1,42,171.0,123.0,0.5816326530612245
77,-MiR5RA-m87bPmNwsbFR,jhNoNZh1JdgKbM2Gz21blXOy5eB3,1,42,232.0,62.0,0.7891156462585034
78,-MiR5RA-m87bPmNwsbFR,kOm69909bpf2ZhKzh9gjy8vxeQJ3,2,60,257.0,163.0,0.611904761904762
79,-MiR5RA-m87bPmNwsbFR,lOJWuh6nkkMP4XLu57iSUOnE8323,2,78,272.0,232.0,0.5396825396825397
80,-MiR5RA-m87bPmNwsbFR,lmturb4ym2Rf7mMRNXxI2vjL9AT2,1,42,94.0,158.0,0.373015873015873
81,-MiR5RA-m87bPmNwsbFR,mcga8ozMFTTG0WbYKmZjLguNOin1,1,36,153.0,99.0,0.6071428571428571
82,-MiR5RA-m87bPmNwsbFR,nbCumwDX8rd9XsQYLpaCI4wPhYD3,1,36,164.0,88.0,0.6507936507936508
83,-MiR5RA-m87bPmNwsbFR,oBq5PVKvvVTFYCVKM5GCy3LbDx12,9,360,1081.0,1271.0,0.459608843537415
84,-MiR5RA-m87bPmNwsbFR,oDmrSU3CaMbgSuDUhxeXcljfXGD3,2,78,231.0,315.0,0.4230769230769231
85,-MiR5RA-m87bPmNwsbFR,ot0fGtmBuSZtKwNDEsi99qis7l13,1,36,142.0,110.0,0.5634920634920635
86,-MiR5RA-m87bPmNwsbFR,oyrdgTkquCZpsyJ3O5wMkQRHfBc2,7,270,806.0,1000.0,0.44629014396456257
87,-MiR5RA-m87bPmNwsbFR,pJiCO3nz74eYvdFhudB1LNmcKxI2,11,432,1531.0,1241.0,0.5523088023088023
88,-MiR5RA-m87bPmNwsbFR,pWysrWKW7vdymMOuZkBJTygAJwd2,2,72,279.0,153.0,0.6458333333333334
89,-MiR5RA-m87bPmNwsbFR,pjXO8Se9mwQI3raRWqqt3QWCHSr1,1,42,118.0,134.0,0.46825396825396826
90,-MiR5RA-m87bPmNwsbFR,q1tkoRQ6vXNTm39PtsO3LeHdja53,1,42,183.0,69.0,0.7261904761904762
91,-MiR5RA-m87bPmNwsbFR,q2DUqLD7m1VsWAF7IqyUAsckJqE3,2,84,251.0,253.0,0.498015873015873
92,-MiR5RA-m87bPmNwsbFR,qkCt9bqjHsVi7ieJi8WXgYPeVXF3,2,78,244.0,224.0,0.5213675213675214
93,-MiR5RA-m87bPmNwsbFR,qnQUaZHf6lQiVTJ9QSc5duVtpWt2,1,42,209.0,85.0,0.7108843537414966
94,-MiR5RA-m87bPmNwsbFR,qpt49McwkshRNUjUryJ2u572I7s1,1,30,124.0,86.0,0.5904761904761905
95,-MiR5RA-m87bPmNwsbFR,sZtrf8BcGTSs0KjguQTUqQtVTaH3,1,36,206.0,46.0,0.8174603174603174
96,-MiR5RA-m87bPmNwsbFR,t9RRJvcU83fYTzhbyaIC2gobkUg2,1,36,124.0,92.0,0.5740740740740741
97,-MiR5RA-m87bPmNwsbFR,uLerc2HKRzd4iF8jJMcjVlxKmpw2,1,30,140.0,70.0,0.6666666666666666
98,-MiR5RA-m87bPmNwsbFR,uQL1mUwOudPmAwg95VjCatox5jk2,2,72,338.0,166.0,0.6706349206349206
99,-MiR5RA-m87bPmNwsbFR,uSkz1trjWLaOuLEz8zDu55adEhd2,1,42,143.0,151.0,0.48639455782312924
100,-MiR5RA-m87bPmNwsbFR,uzjOmHaTKsM1O7eDOKTYmGWBBDH3,1,36,134.0,118.0,0.5317460317460317
101,-MiR5RA-m87bPmNwsbFR,v0pPNDrGHxcwXJqiL1y2EoByXR23,1,42,63.0,189.0,0.25
102,-MiR5RA-m87bPmNwsbFR,vLlTrgTOQuNanDZ3OUwFXgCsdhr1,1,36,184.0,68.0,0.7301587301587301
103,-MiR5RA-m87bPmNwsbFR,wUc8iFYzrBNqQbHWckA8tffqzP82,10,396,1765.0,761.0,0.6987331749802058
104,-MiR5RA-m87bPmNwsbFR,wyGz2AC46pgVCGQnynSW3CXjbef2,1,42,181.0,113.0,0.6156462585034014
105,-MiR5RA-m87bPmNwsbFR,xIp3knzz15glnhBoBtXYMMD8Mij2,1,48,217.0,119.0,0.6458333333333334
106,-MiR5RA-m87bPmNwsbFR,xmVcm1acX7hxZtbZXoAGSwasDXz2,3,108,483.0,237.0,0.6708333333333333
107,-MiR5RA-m87bPmNwsbFR,xqJfGDW2MuUSyjFTu6LIg7Flifv1,1,36,202.0,50.0,0.8015873015873016
108,-MiR5RA-m87bPmNwsbFR,xtjlAmU8b4f8VWSHTKu15ubVXEi1,2,84,295.0,209.0,0.5853174603174603
109,-MiR5RA-m87bPmNwsbFR,yQpOnday7vRfvbQuKikOsAiywWz1,9,348,1253.0,1111.0,0.5300338409475466
110,-MiR5RA-m87bPmNwsbFR,yf0uMQm1rUR9kFRhBWjNzGwVBhQ2,2,72,193.0,275.0,0.41239316239316237
111,-MiR5RA-m87bPmNwsbFR,yrtCN7Cj0WYimIgsnsJktXiSSD82,39,1554,5941.0,4091.0,0.5922049441786283
112,-MiR5RA-m87bPmNwsbFR,z9JR7F2OTISM0TDQiiI11ywx1j23,2,78,235.0,311.0,0.43040293040293043
113,-MiR5RA-m87bPmNwsbFR,zLkHJgxvLpYswoSePSeuP7oXb1U2,2,78,380.0,88.0,0.811965811965812
114,-MiR5RA-m87bPmNwsbFR,zeHz4fE1KfSJ1hvMfb3GCqjYggM2,1,42,104.0,190.0,0.35374149659863946
115,-MiR5RA-m87bPmNwsbFR,zgvJwhoL1mQmz8OvrRAVPAMQy852,1,42,176.0,76.0,0.6984126984126984
